avg_daily_volume_14d,avg_opening_volume_14d,breakout_triggered,candle_type,cost_adjusted_pnl,cost_model,daily_atr_14,direction,entry_trigger_price,exit_price,exit_reason,exit_time,gross_pnl,opening_bar_time,opening_price,opening_rel_volume,outcome_ambiguous,passed_filters,pnl_r,position_value,quantity,rank,rejection_reason,risk_amount,scenario,selected,session_date,simulated_entry_price,stop_hit,stop_price,symbol,trigger_time
151640966.7857143,104799.28571428571,True,bearish,-64.65411533056259,zero,6.538147412803033,short,202.25,202.9038147412803,stop,2026-07-09 17:07:00,-64.65411533056259,2026-07-09 13:35:00,202.47,1.3168505783163735,False,True,-1.0,20000.0,98.8875154511743,1,None,64.65411533056259,intended_deployment,True,2026-07-09,202.25,True,202.9038147412803,NVDA,2026-07-09 13:40:00
151640966.7857143,104799.28571428571,True,bearish,-116.73816568049236,baseline,6.538147412803033,short,202.25,202.9038147412803,stop,2026-07-09 17:07:00,-64.65411533056259,2026-07-09 13:35:00,202.47,1.3168505783163735,False,True,-1.8055798162829266,20000.0,98.8875154511743,1,None,64.65411533056259,intended_deployment,True,2026-07-09,202.25,True,202.9038147412803,NVDA,2026-07-09 13:40:00
151640966.7857143,104799.28571428571,True,bearish,-168.8222160304221,stressed,6.538147412803033,short,202.25,202.9038147412803,stop,2026-07-09 17:07:00,-64.65411533056259,2026-07-09 13:35:00,202.47,1.3168505783163735,False,True,-2.6111596325658533,20000.0,98.8875154511743,1,None,64.65411533056259,intended_deployment,True,2026-07-09,202.25,True,202.9038147412803,NVDA,2026-07-09 13:40:00
75071085.78571428,45486.57142857143,True,bearish,-238.9295085070385,zero,7.532491685192623,short,315.26,316.0132491685193,stop,2026-07-10 19:12:00,-238.9295085070385,2026-07-10 13:35:00,315.32,1.3024723152201907,False,True,-1.0,100000.0,317.1985028230667,1,None,238.9295085070385,research_fidelity,True,2026-07-10,315.26,True,316.0132491685193,AAPL,2026-07-10 13:40:00
75071085.78571428,45486.57142857143,True,bearish,-499.2401168680933,baseline,7.532491685192623,short,315.26,316.0132491685193,stop,2026-07-10 19:12:00,-238.9295085070385,2026-07-10 13:35:00,315.32,1.3024723152201907,False,True,-2.0894870624713415,100000.0,317.1985028230667,1,None,238.9295085070385,research_fidelity,True,2026-07-10,315.26,True,316.0132491685193,AAPL,2026-07-10 13:40:00
75071085.78571428,45486.57142857143,True,bearish,-759.5507252291482,stressed,7.532491685192623,short,315.26,316.0132491685193,stop,2026-07-10 19:12:00,-238.9295085070385,2026-07-10 13:35:00,315.32,1.3024723152201907,False,True,-3.1789741249426835,100000.0,317.1985028230667,1,None,238.9295085070385,research_fidelity,True,2026-07-10,315.26,True,316.0132491685193,AAPL,2026-07-10 13:40:00
75071085.78571428,45486.57142857143,True,bearish,-47.785901701407695,zero,7.532491685192623,short,315.26,316.0132491685193,stop,2026-07-10 19:12:00,-47.785901701407695,2026-07-10 13:35:00,315.32,1.3024723152201907,False,True,-1.0,20000.0,63.43970056461334,1,None,47.785901701407695,intended_deployment,True,2026-07-10,315.26,True,316.0132491685193,AAPL,2026-07-10 13:40:00
75071085.78571428,45486.57142857143,True,bearish,-99.84802337361866,baseline,7.532491685192623,short,315.26,316.0132491685193,stop,2026-07-10 19:12:00,-47.785901701407695,2026-07-10 13:35:00,315.32,1.3024723152201907,False,True,-2.089487062471342,20000.0,63.43970056461334,1,None,47.785901701407695,intended_deployment,True,2026-07-10,315.26,True,316.0132491685193,AAPL,2026-07-10 13:40:00
75071085.78571428,45486.57142857143,True,bearish,-151.91014504582964,stressed,7.532491685192623,short,315.26,316.0132491685193,stop,2026-07-10 19:12:00,-47.785901701407695,2026-07-10 13:35:00,315.32,1.3024723152201907,False,True,-3.178974124942684,20000.0,63.43970056461334,1,None,47.785901701407695,intended_deployment,True,2026-07-10,315.26,True,316.0132491685193,AAPL,2026-07-10 13:40:00
47271885.21428572,19165.428571428572,True,bearish,-250.0,zero,19.791403021761482,short,406.15,408.1291403021761,stop,2026-07-10 13:42:00,-250.0,2026-07-10 13:35:00,406.16,1.0705735028846584,False,True,-1.0,51303.84131350197,126.31747214945703,2,None,250.0,research_fidelity,True,2026-07-10,406.15,True,408.1291403021761,TSLA,2026-07-10 13:40:00
47271885.21428572,19165.428571428572,True,bearish,-383.71498741510584,baseline,19.791403021761482,short,406.15,408.1291403021761,stop,2026-07-10 13:42:00,-250.0,2026-07-10 13:35:00,406.16,1.0705735028846584,False,True,-1.5348599496604234,51303.84131350197,126.31747214945703,2,None,250.0,research_fidelity,True,2026-07-10,406.15,True,408.1291403021761,TSLA,2026-07-10 13:40:00
47271885.21428572,19165.428571428572,True,bearish,-517.4299748302045,stressed,19.791403021761482,short,406.15,408.1291403021761,stop,2026-07-10 13:42:00,-250.0,2026-07-10 13:35:00,406.16,1.0705735028846584,False,True,-2.069719899320818,51303.84131350197,126.31747214945703,2,None,250.0,research_fidelity,True,2026-07-10,406.15,True,408.1291403021761,TSLA,2026-07-10 13:40:00
47271885.21428572,19165.428571428572,True,bearish,-97.45858929834395,zero,19.791403021761482,short,406.15,408.1291403021761,stop,2026-07-10 13:42:00,-97.45858929834395,2026-07-10 13:35:00,406.16,1.0705735028846584,False,True,-1.0,20000.0,49.242890557675736,2,None,97.45858929834395,intended_deployment,True,2026-07-10,406.15,True,408.1291403021761,TSLA,2026-07-10 13:40:00
47271885.21428572,19165.428571428572,True,bearish,-149.58528546443208,baseline,19.791403021761482,short,406.15,408.1291403021761,stop,2026-07-10 13:42:00,-97.45858929834395,2026-07-10 13:35:00,406.16,1.0705735028846584,False,True,-1.5348599496604234,20000.0,49.242890557675736,2,None,97.45858929834395,intended_deployment,True,2026-07-10,406.15,True,408.1291403021761,TSLA,2026-07-10 13:40:00
47271885.21428572,19165.428571428572,True,bearish,-201.7119816305174,stressed,19.791403021761482,short,406.15,408.1291403021761,stop,2026-07-10 13:42:00,-97.45858929834395,2026-07-10 13:35:00,406.16,1.0705735028846584,False,True,-2.0697198993208183,20000.0,49.242890557675736,2,None,97.45858929834395,intended_deployment,True,2026-07-10,406.15,True,408.1291403021761,TSLA,2026-07-10 13:40:00
