avg_daily_volume_14d,avg_opening_volume_14d,breakout_triggered,candle_type,cost_adjusted_pnl,cost_model,daily_atr_14,direction,entry_gapped,entry_trigger_price,equity_at_arm_time,exit_gapped,exit_price,exit_reason,exit_time,gross_pnl,opening_bar_time,opening_close,opening_high,opening_low,opening_open,opening_price,opening_rel_volume,opening_volume,outcome_ambiguous,outcome_data_missing,passed_filters,pnl_r,quantity,rank,realized_position_value,rejection_reason,reservation_overrun,reserved_position_value,reserved_risk_amount,scenario,selected,session_date,session_exposure_cap_exceeded,session_worst_case_realized_gross_exposure,simulated_entry_price,stop_hit,stop_price,symbol,trigger_time,triggered
2468846.3571428573,2176.1428571428573,True,bearish,-51.15207791073853,baseline,12.5965542330487,short,True,388.78,30394.131949918086,True,390.17,stop,2026-07-14 13:36:00,-35.33655960019271,2026-07-14 13:30:00,389.385,396.115,388.78,395.6,395.6,5.700912492614718,12406.0,False,False,True,-2.597141995718763,15.635645840793297,3,6065.223378102128,None,False,6078.826389983617,19.69552608022963,intended_deployment,True,2026-07-14,False,18223.777526158032,387.91,True,390.03965542330485,ISRG,2026-07-14 13:35:00,True
10126964.5,13611.785714285714,False,bullish,None,baseline,1.7306989757428877,long,False,55.48,30394.131949918086,False,None,no_trigger,None,None,2026-07-14 13:30:00,55.05,55.48,54.93,54.955,54.955,4.619820008920841,62884.0,False,False,True,None,109.56788734649635,4,None,None,False,6078.826389983617,18.96290304048912,intended_deployment,True,2026-07-14,False,18223.777526158032,None,None,55.30693010242571,OXY,None,False
10454079.785714285,4246.214285714285,True,bullish,-28.952068337605894,baseline,6.801060901023013,long,True,337.2,30394.131949918086,False,336.5198939098977,stop,2026-07-14 13:35:00,-13.161886619222074,2026-07-14 13:30:00,337.04,337.2,325.97,326.97,326.97,4.141335979948526,17585.0,False,False,True,-2.36140651518597,18.02736177337965,5,6079.727758072287,None,True,6078.826389983617,12.260518530552885,intended_deployment,True,2026-07-14,False,18223.777526158032,337.25,True,336.5198939098977,JPM,2026-07-14 13:35:00,True
13358627.285714285,7500.785714285715,True,bullish,-12.5760548202021,stressed,1.8979480490711793,long,False,86.45,8509.154572753168,False,86.26020519509288,stop,2026-07-14 13:38:00,-3.736248310145154,2026-07-14 13:30:00,86.23,86.45,83.88,84.795,84.795,9.285293921589167,69647.0,True,False,True,-3.3659579814473086,19.685724864668984,1,1701.8309145506337,None,False,1701.8309145506337,3.736248310145154,intended_deployment,True,2026-07-14,False,5101.936785859152,86.45,True,86.26020519509288,WFC,2026-07-14 13:38:00,True
1651779.142857143,521.7142857142857,False,bullish,None,stressed,7.521534692819166,long,False,305.02,8509.154572753168,False,None,no_trigger,None,None,2026-07-14 13:30:00,304.505,305.02,304.21,304.21,304.21,6.081872946330778,3173.0,False,False,True,None,5.579407627534699,2,None,None,False,1701.8309145506337,4.196570803588081,intended_deployment,True,2026-07-14,False,5101.936785859152,None,None,304.2678465307181,CI,None,False
2468846.3571428573,2176.1428571428573,True,bearish,-18.74827774491402,stressed,12.5965542330487,short,True,388.78,8509.154572753168,True,390.17,stop,2026-07-14 13:36:00,-9.892838795422648,2026-07-14 13:30:00,389.385,396.115,388.78,395.6,395.6,5.700912492614718,12406.0,False,False,True,-3.4001425475253697,4.377362298859596,3,1698.0226093506262,None,False,1701.8309145506337,5.5139681595287975,intended_deployment,True,2026-07-14,False,5101.936785859152,387.91,True,390.03965542330485,ISRG,2026-07-14 13:35:00,True
10126964.5,13611.785714285714,False,bullish,None,stressed,1.7306989757428877,long,False,55.48,8509.154572753168,False,None,no_trigger,None,None,2026-07-14 13:30:00,55.05,55.48,54.93,54.955,54.955,4.619820008920841,62884.0,False,False,True,None,30.674674018576674,4,None,None,False,1701.8309145506337,5.308862690519701,intended_deployment,True,2026-07-14,False,5101.936785859152,None,None,55.30693010242571,OXY,None,False
10454079.785714285,4246.214285714285,True,bullish,-12.526060039697866,stressed,6.801060901023013,long,True,337.2,8509.154572753168,False,336.5198939098977,stop,2026-07-14 13:35:00,-3.6848075772176827,2026-07-14 13:30:00,337.04,337.2,325.97,326.97,326.97,4.141335979948526,17585.0,False,False,True,-3.649295088498188,5.046948145167953,5,1702.083261957892,None,True,1701.8309145506337,3.432460169959228,intended_deployment,True,2026-07-14,False,5101.936785859152,337.25,True,336.5198939098977,JPM,2026-07-14 13:35:00,True
1652247.7142857143,869.0714285714286,False,bearish,None,zero,11.394332179067398,short,False,376.345,14701.054557652737,False,None,no_trigger,None,None,2026-07-15 13:30:00,379.7,394.27,376.345,394.27,394.27,16.789183857976493,14591.0,False,False,True,None,129.0207651191714,1,None,None,False,48556.31984877456,147.01054557652736,research_fidelity,True,2026-07-15,False,0.0,None,None,377.48443321790677,ELV,None,False
1652247.7142857143,869.0714285714286,False,bearish,None,baseline,11.394332179067398,short,False,376.345,108.16092938487053,False,None,no_trigger,None,None,2026-07-15 13:30:00,379.7,394.27,376.345,394.27,394.27,16.789183857976493,14591.0,False,False,True,None,0.9492520288602213,1,None,None,False,357.2462548014,1.0816092938487054,research_fidelity,True,2026-07-15,False,0.0,None,None,377.48443321790677,ELV,None,False
1652247.7142857143,869.0714285714286,False,bearish,None,stressed,11.394332179067398,short,False,376.345,0.9253654660260947,False,None,no_trigger,None,None,2026-07-15 13:30:00,379.7,394.27,376.345,394.27,394.27,16.789183857976493,14591.0,False,False,True,None,0.008121278645238093,1,None,None,False,3.05640261174213,0.009253654660260945,research_fidelity,True,2026-07-15,False,0.0,None,None,377.48443321790677,ELV,None,False
1652247.7142857143,869.0714285714286,False,bearish,None,zero,11.394332179067398,short,False,376.345,107725.6237499535,False,None,no_trigger,None,None,2026-07-15 13:30:00,379.7,394.27,376.345,394.27,394.27,16.789183857976493,14591.0,False,False,True,None,57.24833530401813,1,None,None,False,21545.124749990704,65.23065491526151,intended_deployment,True,2026-07-15,False,21575.109907495087,None,None,377.48443321790677,ELV,None,False
7321832.428571428,3909.6428571428573,False,bearish,None,zero,2.4191842448322562,short,False,103.745,107725.6237499535,False,None,no_trigger,None,None,2026-07-15 13:30:00,103.97,105.97,103.745,105.81,105.81,7.341591303553485,28703.0,False,False,True,None,207.6738613908208,2,None,None,False,21545.124749990704,50.24013335401624,intended_deployment,True,2026-07-15,False,21575.109907495087,None,None,103.98691842448324,CVS,None,False
4734318.571428572,2066.4285714285716,True,bullish,242.24850931171738,zero,4.015394364418708,long,True,136.52,107725.6237499535,False,138.245,eod_flatten,2026-07-15 19:59:00,242.24850931171738,2026-07-15 13:30:00,135.53,136.52,133.88,134.27,134.27,7.024196335983408,14515.0,False,False,True,3.822787653441802,157.8166184441159,3,21575.109907495087,None,True,21545.124749990704,63.36959603121345,intended_deployment,True,2026-07-15,False,21575.109907495087,136.71,False,136.11846056355813,TGT,2026-07-15 13:37:00,True
14137758.92857143,6464.571428571428,False,bearish,None,zero,4.03843378376203,short,False,132.34,107725.6237499535,False,None,no_trigger,None,None,2026-07-15 13:30:00,133.83,134.08,132.34,134.08,134.08,5.10784053743481,33020.0,False,False,True,None,162.8013053497862,4,None,None,False,21545.124749990704,65.74622915651209,intended_deployment,True,2026-07-15,False,21575.109907495087,None,None,132.7438433783762,C,None,False
1652247.7142857143,869.0714285714286,False,bearish,None,baseline,11.394332179067398,short,False,376.345,30284.89457489174,False,None,no_trigger,None,None,2026-07-15 13:30:00,379.7,394.27,376.345,394.27,394.27,16.789183857976493,14591.0,False,False,True,None,16.09421917383876,1,None,None,False,6056.978914978348,18.33828794294348,intended_deployment,True,2026-07-15,False,12122.387554494097,None,None,377.48443321790677,ELV,None,False
7321832.428571428,3909.6428571428573,False,bearish,None,baseline,2.4191842448322562,short,False,103.745,30284.89457489174,False,None,no_trigger,None,None,2026-07-15 13:30:00,103.97,105.97,103.745,105.81,105.81,7.341591303553485,28703.0,False,False,True,None,58.383333317059595,2,None,None,False,6056.978914978348,14.124004012142379,intended_deployment,True,2026-07-15,False,12122.387554494097,None,None,103.98691842448324,CVS,None,False
4734318.571428572,2066.4285714285716,True,bullish,52.244704114073976,baseline,4.015394364418708,long,True,136.52,30284.89457489174,False,138.245,eod_flatten,2026-07-15 19:59:00,68.1033008679442,2026-07-15 13:30:00,135.53,136.52,133.88,134.27,134.27,7.024196335983408,14515.0,False,False,True,2.9326098338797153,44.36697124947515,3,6065.408639515748,None,True,6056.978914978348,17.815088632147326,intended_deployment,True,2026-07-15,False,12122.387554494097,136.71,False,136.11846056355813,TGT,2026-07-15 13:37:00,True
14137758.92857143,6464.571428571428,False,bearish,None,baseline,4.03843378376203,short,False,132.34,30284.89457489174,False,None,no_trigger,None,None,2026-07-15 13:30:00,133.83,134.08,132.34,134.08,134.08,5.10784053743481,33020.0,False,False,True,None,45.768315815160555,4,None,None,False,6056.978914978348,18.483231281383052,intended_deployment,True,2026-07-15,False,12122.387554494097,None,None,132.7438433783762,C,None,False
15310852.714285715,11923.714285714286,True,bullish,-30.416627928183008,baseline,2.108451759851809,long,False,86.95,30284.89457489174,False,86.73915482401482,stop,2026-07-15 13:35:00,-14.687576598817277,2026-07-15 13:30:00,86.91,86.95,85.785,85.94,85.94,3.211331560156231,38291.0,True,False,True,-2.0709085480195775,69.66048205840538,5,6056.978914978348,None,False,6056.978914978348,14.687576598817277,intended_deployment,True,2026-07-15,False,12122.387554494097,86.95,True,86.73915482401482,WFC,2026-07-15 13:35:00,True
