cost_model,date,mode,portfolio,reason,symbol
baseline,2026-04-29,stock_only,current_1pct,max_positions,XOM
baseline,2026-04-29,stock_only,current_1pct,max_positions,COP
baseline,2026-04-29,stock_only,current_1pct,max_positions,GOOGL
baseline,2026-04-29,stock_only,current_1pct,max_positions,MU
baseline,2026-04-30,stock_only,current_1pct,max_positions,AMD
baseline,2026-04-30,stock_only,current_1pct,max_positions,GOOGL
baseline,2026-04-30,stock_only,current_1pct,already_held_or_pending,MRVL
baseline,2026-04-30,stock_only,current_1pct,max_positions,KHC
baseline,2026-04-30,stock_only,current_1pct,max_positions,SOXX
baseline,2026-04-30,stock_only,current_1pct,max_positions,AAPL
baseline,2026-04-30,stock_only,current_1pct,max_positions,QQQ
baseline,2026-05-01,stock_only,current_1pct,max_positions,AAPL
baseline,2026-05-01,stock_only,current_1pct,max_positions,ARM
baseline,2026-05-01,stock_only,current_1pct,max_positions,BA
baseline,2026-05-01,stock_only,current_1pct,max_positions,BLK
baseline,2026-05-01,stock_only,current_1pct,max_positions,KO
baseline,2026-05-01,stock_only,current_1pct,max_positions,MS
baseline,2026-05-01,stock_only,current_1pct,max_positions,QQQ
baseline,2026-05-01,stock_only,current_1pct,max_positions,VZ
baseline,2026-05-01,stock_only,current_1pct,max_positions,XLK
baseline,2026-05-01,stock_only,current_1pct,max_positions,DIA
baseline,2026-05-01,stock_only,current_1pct,max_positions,AMZN
baseline,2026-05-01,stock_only,current_1pct,max_positions,XLRE
baseline,2026-05-04,stock_only,current_1pct,max_positions,AMZN
baseline,2026-05-04,stock_only,current_1pct,max_positions,XLK
baseline,2026-05-04,stock_only,current_1pct,max_positions,ETN
baseline,2026-05-05,stock_only,current_1pct,max_positions,MPC
baseline,2026-05-05,stock_only,current_1pct,max_positions,AVGO
baseline,2026-05-05,stock_only,current_1pct,max_positions,CSCO
baseline,2026-05-05,stock_only,current_1pct,max_positions,GOOGL
baseline,2026-05-05,stock_only,current_1pct,already_held_or_pending,MRVL
baseline,2026-05-06,stock_only,current_1pct,max_positions,CAT
baseline,2026-05-06,stock_only,current_1pct,max_positions,AAPL
baseline,2026-05-06,stock_only,current_1pct,max_positions,KHC
baseline,2026-05-06,stock_only,current_1pct,max_positions,XLY
baseline,2026-05-06,stock_only,current_1pct,already_held_or_pending,QCOM
baseline,2026-05-06,stock_only,current_1pct,max_positions,IWM
baseline,2026-05-07,stock_only,current_1pct,already_held_or_pending,NET
baseline,2026-05-07,stock_only,current_1pct,max_positions,ORCL
baseline,2026-05-07,stock_only,current_1pct,max_positions,XLY
baseline,2026-05-07,stock_only,current_1pct,max_positions,UNH
baseline,2026-05-08,stock_only,current_1pct,max_positions,SPY
baseline,2026-05-08,stock_only,current_1pct,max_positions,NEM
baseline,2026-05-08,stock_only,current_1pct,max_positions,XLY
baseline,2026-05-08,stock_only,current_1pct,max_positions,GS
baseline,2026-05-08,stock_only,current_1pct,max_positions,TXN
baseline,2026-05-08,stock_only,current_1pct,max_positions,XLP
baseline,2026-05-08,stock_only,current_1pct,max_positions,GOOGL
baseline,2026-05-08,stock_only,current_1pct,max_positions,MS
baseline,2026-05-11,stock_only,current_1pct,max_positions,MRNA
baseline,2026-05-11,stock_only,current_1pct,max_positions,FCX
baseline,2026-05-11,stock_only,current_1pct,max_positions,GS
baseline,2026-05-11,stock_only,current_1pct,max_positions,AVGO
baseline,2026-05-11,stock_only,current_1pct,max_positions,HON
baseline,2026-05-11,stock_only,current_1pct,max_positions,TXN
baseline,2026-05-11,stock_only,current_1pct,max_positions,XLRE
baseline,2026-05-11,stock_only,current_1pct,max_positions,MS
baseline,2026-05-12,stock_only,current_1pct,max_positions,AAPL
baseline,2026-05-12,stock_only,current_1pct,already_held_or_pending,LLY
baseline,2026-05-13,stock_only,current_1pct,already_held_or_pending,LLY
baseline,2026-05-13,stock_only,current_1pct,max_positions,NVDA
baseline,2026-05-13,stock_only,current_1pct,max_positions,MU
baseline,2026-05-13,stock_only,current_1pct,max_positions,SBUX
baseline,2026-05-13,stock_only,current_1pct,max_positions,TSLA
baseline,2026-05-13,stock_only,current_1pct,max_positions,EBAY
baseline,2026-05-13,stock_only,current_1pct,max_positions,GS
baseline,2026-05-13,stock_only,current_1pct,max_positions,COST
baseline,2026-05-13,stock_only,current_1pct,max_positions,KO
baseline,2026-05-13,stock_only,current_1pct,max_positions,XLB
baseline,2026-05-13,stock_only,current_1pct,max_positions,XLP
baseline,2026-05-14,stock_only,current_1pct,max_positions,CSCO
baseline,2026-05-14,stock_only,current_1pct,already_held_or_pending,MRVL
baseline,2026-05-14,stock_only,current_1pct,max_positions,DIA
baseline,2026-05-14,stock_only,current_1pct,max_positions,SBUX
baseline,2026-05-14,stock_only,current_1pct,max_positions,XLK
baseline,2026-05-14,stock_only,current_1pct,max_positions,ZS
baseline,2026-05-14,stock_only,current_1pct,max_positions,QQQ
baseline,2026-05-14,stock_only,current_1pct,max_positions,MS
baseline,2026-05-14,stock_only,current_1pct,max_positions,AMAT
baseline,2026-05-14,stock_only,current_1pct,max_positions,XLP
baseline,2026-05-15,stock_only,current_1pct,max_positions,COST
baseline,2026-05-15,stock_only,current_1pct,max_positions,ZS
baseline,2026-05-15,stock_only,current_1pct,max_positions,APP
baseline,2026-05-15,stock_only,current_1pct,max_positions,AAPL
baseline,2026-05-15,stock_only,current_1pct,max_positions,KO
baseline,2026-05-18,stock_only,current_1pct,max_positions,XLP
baseline,2026-05-18,stock_only,current_1pct,max_positions,DXCM
baseline,2026-05-18,stock_only,current_1pct,max_positions,NSC
baseline,2026-05-19,stock_only,current_1pct,max_positions,V
baseline,2026-05-19,stock_only,current_1pct,max_positions,MSFT
baseline,2026-05-19,stock_only,current_1pct,max_positions,HON
baseline,2026-05-20,stock_only,current_1pct,max_positions,BMY
baseline,2026-05-20,stock_only,current_1pct,already_held_or_pending,LLY
baseline,2026-05-20,stock_only,current_1pct,max_positions,SBUX
baseline,2026-05-20,stock_only,current_1pct,max_positions,SLB
baseline,2026-05-21,stock_only,current_1pct,max_positions,F
baseline,2026-05-21,stock_only,current_1pct,max_positions,MS
baseline,2026-05-21,stock_only,current_1pct,max_positions,AAPL
baseline,2026-05-21,stock_only,current_1pct,max_positions,XLK
baseline,2026-05-22,stock_only,current_1pct,max_positions,XLK
baseline,2026-05-22,stock_only,current_1pct,max_positions,DIA
baseline,2026-05-22,stock_only,current_1pct,max_positions,QQQ
baseline,2026-05-22,stock_only,current_1pct,max_positions,SPY
baseline,2026-05-22,stock_only,current_1pct,max_positions,XLF
baseline,2026-05-22,stock_only,current_1pct,max_positions,XLV
baseline,2026-05-22,stock_only,current_1pct,max_positions,GS
baseline,2026-05-22,stock_only,current_1pct,max_positions,LIN
baseline,2026-05-22,stock_only,current_1pct,already_held_or_pending,NET
baseline,2026-05-26,stock_only,current_1pct,max_positions,INTC
baseline,2026-05-26,stock_only,current_1pct,max_positions,SLB
baseline,2026-05-26,stock_only,current_1pct,already_held_or_pending,MRVL
baseline,2026-05-26,stock_only,current_1pct,max_positions,XLU
baseline,2026-05-27,stock_only,current_1pct,max_positions,CRM
baseline,2026-05-27,stock_only,current_1pct,max_positions,DIA
baseline,2026-05-27,stock_only,current_1pct,max_positions,META
baseline,2026-05-27,stock_only,current_1pct,max_positions,XLV
baseline,2026-05-28,stock_only,current_1pct,max_positions,META
baseline,2026-05-28,stock_only,current_1pct,max_positions,NOW
baseline,2026-05-28,stock_only,current_1pct,max_positions,LMT
baseline,2026-05-28,stock_only,current_1pct,max_positions,XLK
baseline,2026-05-28,stock_only,current_1pct,max_positions,RTX
