ambiguous,atr,conviction,cost_model,decision_time,delta1_expiration_sessions,delta2_enabled,delta3_enabled,entry,exit_price,exit_reason,exit_time,expires_at,fill_price,filled_at,final_stop,gross_pnl,market,mode,net_pnl,outcome_data_missing,pnl_r,portfolio,quantity,reason,reserved_notional,risk_amount,signal_bar_end,status,stop,strategy_version,symbol,target,transaction_cost,variant_id
False,0.35830022951547663,87,zero,2023-01-25 16:16:00,,False,False,47.7,48.78,target,2023-01-25 20:17:00,,47.7,2023-01-25 16:25:00,48.03,449.2799999999993,stock,stock_only,449.2799999999993,False,1.9999999999999736,safe_0_25pct,416,,19843.2,224.6400000000026,2023-01-25 16:00:00,closed,47.16,stock_trend_momentum_v2,EBAY,48.78,0.0,d1_off_d2_off_d3_off
False,0.5568884641660975,87,zero,2023-01-25 16:16:00,,False,False,54.1,54.4,stop,2023-01-26 14:43:00,,53.94,2023-01-25 16:16:00,54.4,135.70000000000024,stock,stock_only,135.70000000000024,False,0.5476190476190463,safe_0_25pct,295,,15959.5,247.800000000001,2023-01-25 16:00:00,closed,53.26,stock_trend_momentum_v2,NEM,55.78,0.0,d1_off_d2_off_d3_off
False,0.3659152887221402,92,zero,2023-01-26 16:16:00,,False,False,58.71,59.81,target,2023-01-26 17:32:00,,58.71,2023-01-26 16:23:00,58.82,374.00000000000045,stock,stock_only,374.00000000000045,False,1.999999999999987,safe_0_25pct,340,,19961.4,187.00000000000145,2023-01-26 16:00:00,closed,58.16,stock_trend_momentum_v2,AVGO,59.81,0.0,d1_off_d2_off_d3_off
False,1.574098394072495,87,zero,2023-01-26 16:16:00,,False,False,184.97,184.81,stop,2023-01-27 14:30:00,,184.83,2023-01-26 16:16:00,184.81,-2.1000000000010743,stock,stock_only,-2.1000000000010743,False,-0.008438818565405145,safe_0_25pct,105,,19421.85,248.85000000000048,2023-01-26 16:00:00,closed,182.6,stock_trend_momentum_v2,CVX,189.71,0.0,d1_off_d2_off_d3_off
False,0.8861038328581171,92,zero,2023-01-27 16:16:00,,False,False,124.42,123.44,stop,2023-01-30 14:30:00,,123.82,2023-01-27 16:16:00,123.44,-61.17999999999927,stock,stock_only,-61.17999999999927,False,-0.2857142857142827,safe_0_25pct,161,,20031.62,214.1299999999997,2023-01-27 16:00:00,closed,123.09,stock_trend_momentum_v2,COP,127.08,0.0,d1_off_d2_off_d3_off
False,0.08489978668144857,87,zero,2023-01-27 16:16:00,,False,False,12.99,13.25,target,2023-01-27 17:50:00,,12.98,2023-01-27 16:16:00,13.03,416.60999999999933,stock,stock_only,416.60999999999933,False,2.076923076923061,safe_0_25pct,1543,,20043.57,200.5900000000012,2023-01-27 16:00:00,closed,12.86,stock_trend_momentum_v2,F,13.25,0.0,d1_off_d2_off_d3_off
False,0.9594573462831936,87,zero,2023-01-31 16:16:00,,False,False,102.98,101.54,stop,2023-02-01 15:56:00,,102.98,2023-01-31 16:16:00,101.54,-250.5599999999996,stock,stock_only,-250.5599999999996,False,-1.0,safe_0_25pct,174,,17918.52,250.5599999999996,2023-01-31 16:00:00,closed,101.54,stock_trend_momentum_v2,AMZN,105.86,0.0,d1_off_d2_off_d3_off
False,4.656536339891656,87,zero,2023-01-31 16:16:00,,False,False,500.57,493.58,stop,2023-02-01 14:32:00,,498.95,2023-01-31 16:16:00,493.58,-187.95000000000016,stock,stock_only,-187.95000000000016,False,-0.7682403433476391,safe_0_25pct,35,,17519.95,244.65000000000032,2023-01-31 16:00:00,closed,493.58,stock_trend_momentum_v2,ELV,514.55,0.0,d1_off_d2_off_d3_off
False,0.11790223138499742,92,zero,2023-02-01 16:16:00,,False,False,13.57,13.93,target,2023-02-01 20:34:00,,13.57,2023-02-01 17:08:00,13.72,500.7599999999992,stock,stock_only,500.7599999999992,False,2.0,safe_0_25pct,1391,,18875.87,250.3799999999996,2023-02-01 16:00:00,closed,13.39,stock_trend_momentum_v2,F,13.93,0.0,d1_off_d2_off_d3_off
False,0.31520521372601507,92,zero,2023-02-01 16:16:00,,False,False,31.02,31.98,target,2023-02-02 14:30:00,,31.015,2023-02-01 16:16:00,31.32,502.76499999999993,stock,stock_only,502.76499999999993,False,2.0104166666666647,safe_0_25pct,521,,16161.42,250.0800000000002,2023-02-01 16:00:00,closed,30.54,stock_trend_momentum_v2,UBER,31.98,0.0,d1_off_d2_off_d3_off
False,0.31588321835204575,92,zero,2023-02-02 16:16:00,,False,False,36.59,36.11,stop,2023-02-02 19:47:00,,36.59,2023-02-02 16:16:00,36.11,-252.4800000000021,stock,stock_only,-252.4800000000021,False,-1.0,safe_0_25pct,526,,19246.34,252.4800000000021,2023-02-02 16:00:00,closed,36.11,stock_trend_momentum_v2,NFLX,37.55,0.0,d1_off_d2_off_d3_off
False,0.5949008062788367,87,zero,2023-02-02 16:16:00,,False,False,83.11,82.97,stop,2023-02-02 20:03:00,,82.93,2023-02-02 16:16:00,82.97,9.719999999998066,stock,stock_only,9.719999999998066,False,0.04444444444443532,safe_0_25pct,243,,20195.73,218.70000000000138,2023-02-02 16:00:00,closed,82.21,stock_trend_momentum_v2,GE,84.91,0.0,d1_off_d2_off_d3_off
False,0.3655124941886243,92,zero,2023-02-03 16:16:00,,False,False,37.35,36.8,stop,2023-02-03 19:20:00,,37.35,2023-02-03 17:43:00,36.8,-251.90000000000197,stock,stock_only,-251.90000000000197,False,-1.0,safe_0_25pct,458,,17106.3,251.90000000000197,2023-02-03 16:00:00,closed,36.8,stock_trend_momentum_v2,NFLX,38.45,0.0,d1_off_d2_off_d3_off
False,4.698755775324726,92,zero,2023-02-03 16:16:00,,False,False,196.25,189.2,stop,2023-02-03 18:45:00,,196.25,2023-02-03 16:49:00,189.2,-246.7500000000004,stock,stock_only,-246.7500000000004,False,-1.0,safe_0_25pct,35,,6868.75,246.7500000000004,2023-02-03 16:00:00,closed,189.2,stock_trend_momentum_v2,TSLA,210.35,0.0,d1_off_d2_off_d3_off
False,4.074542538873862,86,zero,2023-02-06 16:16:00,,False,False,194.88,207.12,target,2023-02-09 14:30:00,,194.88,2023-02-06 16:16:00,198.21,501.8400000000004,stock,stock_only,501.8400000000004,False,2.0,safe_0_25pct,41,,7990.08,250.9200000000002,2023-02-06 16:00:00,closed,188.76,stock_trend_momentum_v2,TSLA,207.12,0.0,d1_off_d2_off_d3_off
False,0.1805443859802052,87,zero,2023-02-07 16:16:00,,False,False,36.6,36.69,stop,2023-02-07 18:15:00,,36.6,2023-02-07 16:17:00,36.69,49.319999999997975,stock,stock_only,49.319999999997975,False,0.3214285714285569,safe_0_25pct,548,,20056.8,153.44000000000062,2023-02-07 16:00:00,closed,36.32,stock_trend_momentum_v2,BAC,37.16,0.0,d1_off_d2_off_d3_off
False,0.6492897511949687,79,zero,2023-02-07 16:16:00,,False,False,56.92,58.88,target,2023-02-07 17:57:00,,56.92,2023-02-07 16:24:00,56.8,499.80000000000024,stock,stock_only,499.80000000000024,False,1.999999999999993,safe_0_25pct,255,,14514.6,249.900000000001,2023-02-07 16:00:00,closed,55.94,stock_trend_momentum_v2,KKR,58.88,0.0,d1_off_d2_off_d3_off
False,0.4153577893190553,92,zero,2023-02-08 16:16:00,,False,False,29.35,28.72,stop,2023-02-08 19:44:00,,29.15,2023-02-08 16:16:00,28.72,-172.4299999999999,stock,stock_only,-172.4299999999999,False,-0.6825396825396793,safe_0_25pct,401,,11769.35,252.63000000000102,2023-02-08 16:00:00,closed,28.72,stock_trend_momentum_v2,CRWD,30.61,0.0,d1_off_d2_off_d3_off
