timestamp,event,symbol,delta,reserved_total
2022-04-07 19:01:00,release,LMT,-18598.42,73927.92000000004
2022-04-08 13:30:00,release,XLP,-18643.2,55284.720000000045
2022-04-08 15:16:00,reserve,LMT,18628.4,73913.12000000005
2022-04-08 15:16:00,reserve,CVX,18601.0,92514.12000000005
2022-04-08 18:26:00,release,LMT,-18628.4,73885.72000000006
2022-04-11 13:30:00,release,AMZN,-18711.14,55174.58000000006
2022-04-11 13:30:00,release,CVX,-18601.0,36573.58000000006
2022-04-11 15:16:00,reserve,KO,18623.8,55197.38000000006
2022-04-11 15:16:00,reserve,MMM,18632.04,73829.42000000007
2022-04-11 19:30:00,release,KO,-18623.8,55205.62000000007
2022-04-11 19:49:00,release,MMM,-18632.04,36573.58000000007
2022-04-12 15:16:00,reserve,EOG,18551.4,55124.98000000007
2022-04-12 15:16:00,reserve,CVX,18579.05,73704.03000000007
2022-04-12 15:30:00,release,UNH,-18140.36,55563.67000000007
2022-04-13 13:35:00,release,EOG,-18551.4,37012.27000000007
2022-04-13 15:16:00,reserve,NEM,18508.75,55521.02000000007
2022-04-13 15:16:00,reserve,GLD,18464.0,73985.02000000008
2022-04-14 13:46:00,release,GLD,-18464.0,55521.02000000008
2022-04-14 15:16:00,reserve,CI,18436.57,73957.59000000008
2022-04-14 15:16:00,reserve,XLB,18587.85,92545.44000000009
2022-04-14 19:59:00,release,XLB,-18587.85,73957.59000000008
2022-04-18 13:30:00,release,NEM,-18508.75,55448.840000000084
2022-04-18 13:33:00,release,CVX,-18579.05,36869.79000000008
2022-04-18 15:16:00,reserve,XLE,18668.16,55537.950000000084
2022-04-18 15:16:00,reserve,NEM,18588.86,74126.81000000008
2022-04-18 19:30:00,release,LLY,-18433.22,55693.590000000084
2022-04-19 13:30:00,release,XLE,-18668.16,37025.43000000008
2022-04-19 13:30:00,release,NEM,-18588.86,18436.57000000008
2022-04-19 15:46:00,release,CI,-18436.57,8.003553375601768e-11
2022-04-20 15:16:00,reserve,DVN,18634.72,18634.72000000008
2022-04-20 15:16:00,reserve,ELV,18451.3,37086.02000000008
2022-04-21 13:36:00,release,DVN,-18634.72,18451.300000000076
2022-04-21 15:16:00,reserve,LIN,18421.76,36873.06000000007
2022-04-21 15:16:00,reserve,OXY,18696.47,55569.53000000007
2022-04-21 15:43:00,release,OXY,-18696.47,36873.06000000007
2022-04-21 18:03:00,release,LIN,-18421.76,18451.300000000072
2022-04-21 18:55:00,release,ELV,-18451.3,7.275957614183426e-11
2022-04-26 15:16:00,reserve,JNJ,18414.0,18414.000000000073
2022-04-27 13:30:00,release,JNJ,-18414.0,7.275957614183426e-11
2022-04-28 15:16:00,reserve,KHC,18539.52,18539.520000000073
2022-04-29 15:01:00,release,KHC,-18539.52,7.275957614183426e-11
2022-05-05 15:16:00,release,OXY,-18444.35,-18444.349999999926
2022-05-05 15:16:00,reserve,OXY,18444.35,7.275957614183426e-11
2022-05-05 15:16:00,reserve,PSX,18466.5,18466.500000000073
2022-05-05 15:24:00,release,PSX,-18466.5,7.275957614183426e-11
2022-05-06 15:16:00,reserve,COP,18417.58,18417.580000000075
2022-05-09 13:33:00,release,COP,-18417.58,7.275957614183426e-11
2022-05-09 15:16:00,reserve,KHC,18367.9,18367.900000000074
2022-05-10 14:27:00,release,KHC,-18367.9,7.275957614183426e-11
2022-05-10 15:16:00,reserve,MDLZ,18262.1,18262.10000000007
2022-05-10 16:31:00,release,MDLZ,-18262.1,7.275957614183426e-11
2022-05-13 15:16:00,reserve,COP,18209.76,18209.76000000007
2022-05-13 15:16:00,reserve,CVX,18236.79,36446.550000000076
2022-05-16 13:43:00,release,CVX,-18236.79,18209.760000000075
2022-05-16 15:16:00,reserve,ABBV,18311.67,36521.43000000007
2022-05-16 15:16:00,reserve,MRK,18425.67,54947.10000000007
2022-05-16 18:09:00,release,COP,-18209.76,36737.34000000007
2022-05-17 13:32:00,release,ABBV,-18311.67,18425.67000000007
2022-05-17 13:39:00,release,MRK,-18425.67,7.275957614183426e-11
2022-05-17 15:16:00,reserve,MU,18448.02,18448.020000000073
2022-05-17 15:16:00,reserve,PFE,18496.8,36944.82000000007
2022-05-18 14:08:00,release,PFE,-18496.8,18448.020000000073
2022-05-18 15:16:00,reserve,GILD,18406.3,36854.32000000007
2022-05-18 15:16:00,reserve,VZ,18442.5,55296.82000000007
2022-05-18 16:05:00,release,MU,-18448.02,36848.800000000076
2022-05-18 19:23:00,release,VZ,-18442.5,18406.300000000076
2022-05-20 15:16:00,reserve,VZ,18365.64,36771.940000000075
2022-05-20 16:38:00,release,VZ,-18365.64,18406.300000000076
2022-05-20 17:18:00,release,GILD,-18406.3,7.639755494892597e-11
2022-05-23 15:16:00,reserve,XOM,18265.1,18265.100000000075
2022-05-23 15:16:00,reserve,CVX,18244.72,36509.82000000008
2022-05-23 17:21:00,release,CVX,-18244.72,18265.10000000008
2022-05-24 13:30:00,release,XOM,-18265.1,8.003553375601768e-11
2022-05-24 15:16:00,reserve,GLD,18097.04,18097.04000000008
2022-05-24 15:16:00,reserve,BMY,18174.36,36271.40000000008
2022-05-25 13:30:00,release,GLD,-18097.04,18174.36000000008
2022-05-25 15:16:00,reserve,COP,18225.9,36400.26000000008
2022-05-25 15:16:00,reserve,CVX,18185.44,54585.700000000084
2022-05-25 16:24:00,release,BMY,-18174.36,36411.340000000084
2022-05-26 13:31:00,release,COP,-18225.9,18185.440000000082
2022-05-26 15:16:00,reserve,BAC,18368.18,36553.62000000008
2022-05-26 15:16:00,reserve,BMY,18306.5,54860.12000000008
2022-05-26 17:22:00,release,CVX,-18185.44,36674.68000000008
2022-05-27 13:30:00,release,BMY,-18306.5,18368.18000000008
2022-05-27 15:16:00,reserve,CRWD,18309.82,36678.00000000008
2022-05-27 15:16:00,reserve,XLV,18334.68,55012.68000000008
2022-05-31 13:30:00,release,XLV,-18334.68,36678.00000000008
2022-05-31 13:32:00,release,CRWD,-18309.82,18368.18000000008
2022-05-31 14:37:00,release,BAC,-18368.18,8.003553375601768e-11
2022-05-31 15:16:00,reserve,CVX,18508.07,18508.07000000008
2022-05-31 15:16:00,reserve,MA,18311.55,36819.62000000008
2022-05-31 15:26:00,release,CVX,-18508.07,18311.550000000083
2022-06-01 14:21:00,release,MA,-18311.55,8.36735125631094e-11
2022-06-01 15:16:00,reserve,AMZN,18511.09,18511.090000000084
2022-06-01 15:16:00,reserve,MSFT,18325.84,36836.93000000008
2022-06-01 16:48:00,release,MSFT,-18325.84,18511.09000000008
2022-06-02 13:30:00,release,AMZN,-18511.09,8.003553375601768e-11
2022-06-02 15:16:00,reserve,GM,18472.75,18472.75000000008
2022-06-02 15:16:00,reserve,QCOM,18355.41,36828.160000000076
2022-06-03 13:30:00,release,GM,-18472.75,18355.410000000076
2022-06-03 15:16:00,reserve,AMT,18253.92,36609.330000000075
2022-06-03 15:16:00,reserve,MPC,18306.54,54915.870000000075
2022-06-03 15:30:00,release,QCOM,-18355.41,36560.46000000008
2022-06-06 13:45:00,release,MPC,-18306.54,18253.92000000008
2022-06-06 15:16:00,reserve,FCX,18492.36,36746.28000000008
2022-06-06 15:16:00,reserve,LIN,18500.35,55246.63000000008
2022-06-06 16:02:00,release,LIN,-18500.35,36746.28000000008
2022-06-07 13:31:00,release,FCX,-18492.36,18253.92000000008
2022-06-07 13:32:00,release,AMT,-18253.92,8.003553375601768e-11
2022-06-07 15:16:00,reserve,NOW,18413.13,18413.13000000008
2022-06-07 15:16:00,reserve,CVX,18449.36,36862.49000000008
2022-06-07 16:31:00,release,NOW,-18413.13,18449.360000000077
2022-06-08 14:50:00,release,CVX,-18449.36,7.639755494892597e-11
2022-06-08 15:16:00,reserve,UBER,18441.09,18441.090000000077
2022-06-08 15:16:00,reserve,SLB,18416.25,36857.34000000008
2022-06-08 16:39:00,release,UBER,-18441.09,18416.250000000076
2022-06-09 13:45:00,release,SLB,-18416.25,7.639755494892597e-11
2022-06-09 15:16:00,reserve,CRM,18239.05,18239.050000000076
2022-06-09 17:32:00,release,CRM,-18239.05,7.639755494892597e-11
2022-06-27 15:16:00,reserve,TSLA,18161.67,18161.670000000075
2022-06-27 15:16:00,reserve,GILD,18204.48,36366.150000000074
2022-06-27 16:32:00,release,TSLA,-18161.67,18204.480000000076
2022-06-28 15:16:00,reserve,BA,18081.0,36285.480000000076
2022-06-28 15:16:00,reserve,GM,18196.11,54481.59000000008
2022-06-28 15:23:00,release,BA,-18081.0,36400.59000000008
2022-06-28 15:38:00,release,GM,-18196.11,18204.480000000076
2022-06-28 17:05:00,release,GILD,-18204.48,7.639755494892597e-11
2022-06-29 15:16:00,reserve,MCD,18062.39,18062.390000000076
2022-06-30 15:16:00,reserve,XLU,18054.84,36117.230000000076
2022-06-30 15:16:00,reserve,PEP,18024.12,54141.35000000008
2022-06-30 19:05:00,release,XLU,-18054.84,36086.51000000008
2022-06-30 19:07:00,release,PEP,-18024.12,18062.390000000083
2022-07-01 15:16:00,reserve,KO,18065.24,36127.630000000085
2022-07-01 15:16:00,reserve,MRNA,18058.04,54185.670000000086
2022-07-01 18:27:00,release,MCD,-18062.39,36123.280000000086
2022-07-05 13:35:00,release,KO,-18065.24,18058.040000000085
2022-07-05 14:12:00,release,MRNA,-18058.04,8.36735125631094e-11
2022-07-05 15:16:00,reserve,MRNA,18200.32,18200.320000000083
2022-07-05 15:16:00,reserve,NET,18333.7,36534.020000000084
2022-07-05 19:59:00,release,NET,-18333.7,18200.320000000083
2022-07-06 15:16:00,reserve,AAPL,18632.13,36832.450000000084
2022-07-06 15:16:00,reserve,NET,18630.81,55463.26000000008
2022-07-07 13:34:00,release,MRNA,-18200.32,37262.94000000008
2022-07-07 14:05:00,release,AAPL,-18632.13,18630.81000000008
2022-07-07 15:16:00,reserve,OXY,18984.96,37615.77000000008
2022-07-07 15:16:00,reserve,WFC,18986.22,56601.99000000008
2022-07-08 13:30:00,release,NET,-18630.81,37971.18000000008
2022-07-08 13:51:00,release,OXY,-18984.96,18986.22000000008
2022-07-08 15:16:00,reserve,KHC,19047.6,38033.82000000008
2022-07-08 15:16:00,reserve,WMT,19026.0,57059.82000000008
2022-07-08 17:22:00,release,WMT,-19026.0,38033.82000000008
2022-07-11 13:30:00,release,WFC,-18986.22,19047.60000000008
2022-07-11 15:16:00,reserve,MRK,18940.23,37987.830000000075
2022-07-11 15:16:00,reserve,V,18844.36,56832.190000000075
2022-07-12 13:30:00,release,V,-18844.36,37987.830000000075
2022-07-12 13:52:00,release,MRK,-18940.23,19047.600000000075
2022-07-12 14:41:00,release,KHC,-19047.6,7.639755494892597e-11
2022-07-12 15:16:00,reserve,CSCO,18966.0,18966.000000000076
2022-07-12 15:16:00,reserve,HD,18938.4,37904.40000000008
2022-07-12 17:39:00,release,HD,-18938.4,18966.00000000008
2022-07-12 18:33:00,release,CSCO,-18966.0,8.003553375601768e-11
2022-07-15 15:16:00,reserve,MRVL,18885.29,18885.29000000008
2022-07-15 15:16:00,reserve,SOXX,18841.8,37727.090000000084
2022-07-18 13:30:00,release,MRVL,-18885.29,18841.800000000083
2022-07-18 13:30:00,release,SOXX,-18841.8,8.36735125631094e-11
2022-07-18 15:16:00,reserve,AMZN,19072.35,19072.350000000082
2022-07-18 15:16:00,reserve,HD,18890.24,37962.590000000084
2022-07-18 18:52:00,release,AMZN,-19072.35,18890.240000000085
2022-07-18 19:49:00,release,HD,-18890.24,8.36735125631094e-11
2022-07-19 15:16:00,reserve,BA,18934.62,18934.620000000083
2022-07-19 15:16:00,reserve,QCOM,18917.6,37852.22000000008
2022-07-20 13:40:00,release,QCOM,-18917.6,18934.620000000083
2022-07-20 15:16:00,reserve,MRNA,19173.84,38108.46000000008
2022-07-20 15:32:00,release,MRNA,-19173.84,18934.62000000008
2022-07-20 19:13:00,release,BA,-18934.62,8.003553375601768e-11
2022-07-21 15:16:00,reserve,IBB,19155.6,19155.60000000008
2022-07-21 15:16:00,reserve,V,19128.77,38284.37000000008
