symbol,mfe_r,mae_r,missing,net_pnl,group
EOG,0.6774193548387126,1.0483870967741877,False,-299.3876999999999,loser
UBER,1.3209876543209755,0.3580246913580314,False,25.55047999999905,winner
EBAY,0.19999999999999526,0.29166666666667307,False,-61.85658000000085,loser
XOM,0.9589411764705799,1.805764705882327,False,-52.92893644999952,loser
AMAT,0.11746987951806842,0.325301204819273,False,-87.79683999999877,loser
LULU,2.050000000000026,0.6145833333333368,False,528.4783500000013,winner
PG,2.5571428571428045,0.5333333333333298,False,235.4163899999993,winner
AVGO,1.7894736842105228,0.0789473684210551,False,141.56801999999973,winner
MRVL,1.2014925373134293,0.17910447761194662,False,1.2400199999995714,winner
COST,2.223214285714341,0.05064732142857263,False,297.9540799999996,winner
BMY,0.39830508474575943,0.9237288135593196,False,-156.43995000000157,loser
MPC,0.4538461538461465,1.069230769230772,False,-244.33983000000137,loser
MRK,0.43548387096773233,1.0645161290322678,False,-160.15176000000105,loser
IBB,0.07826086956521996,1.02608695652174,False,-182.0319300000008,loser
FCX,0.09195402298850405,0.5742528735632212,False,-198.39836500000072,loser
V,0.4377880184331901,1.009216589861756,False,-196.55030999999897,loser
BMY,0.3770491803278757,0.6803278688524466,False,-119.43035999999783,loser
KO,0.4249999999999982,0.6499999999999858,False,-94.06510000000075,loser
LMT,0.5815217391304344,0.9760869565217363,False,-166.85811000000018,loser
LLY,0.07514450867051804,0.028901734104052987,False,-21.197037400000166,loser
LMT,2.0056074766355088,0.5289719626168172,False,419.88222999999954,winner
UNH,1.4312749003984233,0.12848605577688926,False,74.46331500000078,winner
XLP,2.20833333333329,0.08333333333334567,False,211.6415999999985,winner
LMT,0.21790540540541037,1.0304054054054068,False,-255.30999999999835,loser
CVX,0.7765957446808571,0.5957446808510677,False,-84.56799999999937,loser
KO,0.0750000000000031,0.7749999999999907,False,-108.4527499999986,loser
MMM,0.5762711864406943,0.3474576271186475,False,-64.01965499999706,loser
EOG,0.36764705882352827,0.9068627450980337,False,-282.9838199999996,loser
CVX,1.4291666666666711,0.837500000000016,False,205.86503000000025,winner
NEM,2.613636363636374,0.09090909090908944,False,432.1677100000014,winner
GLD,0.3953488372093131,1.0,False,-100.41899999999931,loser
CI,1.1186440677965979,0.7923728813559295,False,-24.113730000002903,loser
XLB,0.4285714285714177,1.0,False,-134.72975000000048,loser
XLE,1.303030303030309,0.39393939393940375,False,4.470264999998683,winner
NEM,1.0549450549450676,1.9120879120879137,False,-57.80923999999838,loser
DVN,1.5222222222222177,0.4999999999999921,False,53.694755,winner
ELV,0.97806004618937,0.13510392609700658,False,-40.07150000000016,loser
LIN,0.20512820512820887,1.0512820512820678,False,-166.18279999999925,loser
OXY,0.03977272727272328,0.7954545454545464,False,-206.8975350000008,loser
JNJ,0.25149700598801833,1.173652694610792,False,-183.6613349999988,loser
KHC,0.6636363636363491,1.0,False,-252.72237000000183,loser
OXY,0.007936507936511964,0.3172222222222175,False,-123.60790999999983,loser
PSX,0.2129032258064509,0.19354838709677272,False,-74.74252499999845,loser
COP,0.5411255411255439,1.0303030303030336,False,-417.84776499999793,loser
KHC,0.9682539682539744,1.0079365079365121,False,-279.6871749999981,loser
MDLZ,0.3947368421052568,0.5921052631578945,False,-133.19140000000047,loser
COP,2.0649999999999977,0.4750000000000014,False,705.3742049999981,winner
CVX,2.0315315315315283,0.2972972972972959,False,465.48122999999975,winner
